Amount Effective from January to March 2021/Montant en vigueur en janvier à mars 2021,,,
Yearly Income (excluding OAS Pension and GIS) From,Yearly Income (excluding OAS Pension and GIS) To,Monthly GIS with Maximum OAS Pension ($),Combined Monthly OAS Pension and GIS ($)
Revenu annuel (sauf la pension de la SV et le SRG) De,Revenu annuel (sauf la pension de la SV et le SRG) ·,SRG mensuel pour montant maximal de la pension de la SV ($),Total mensuel de la pension de la SV et du SRG ($)
"6,528.00","6,551.99",553.12,"1,168.49"
"6,552.00","6,559.99",552.12,"1,167.49"
"6,560.00","6,575.99",551.12,"1,166.49"
"6,576.00","6,599.99",550.12,"1,165.49"
"6,600.00","6,607.99",549.12,"1,164.49"
"6,608.00","6,623.99",548.12,"1,163.49"
"6,624.00","6,647.99",547.12,"1,162.49"
"6,648.00","6,655.99",546.12,"1,161.49"
"6,656.00","6,671.99",545.12,"1,160.49"
"6,672.00","6,695.99",544.12,"1,159.49"
"6,696.00","6,703.99",543.12,"1,158.49"
"6,704.00","6,719.99",542.12,"1,157.49"
"6,720.00","6,743.99",541.12,"1,156.49"
"6,744.00","6,751.99",540.12,"1,155.49"
"6,752.00","6,767.99",539.12,"1,154.49"
"6,768.00","6,791.99",538.12,"1,153.49"
"6,792.00","6,799.99",537.12,"1,152.49"
"6,800.00","6,815.99",536.12,"1,151.49"
"6,816.00","6,839.99",535.12,"1,150.49"
"6,840.00","6,847.99",534.12,"1,149.49"
"6,848.00","6,863.99",533.12,"1,148.49"
"6,864.00","6,887.99",532.12,"1,147.49"
"6,888.00","6,895.99",531.12,"1,146.49"
"6,896.00","6,911.99",530.12,"1,145.49"
"6,912.00","6,935.99",529.12,"1,144.49"
"6,936.00","6,943.99",528.12,"1,143.49"
"6,944.00","6,959.99",527.12,"1,142.49"
"6,960.00","6,983.99",526.12,"1,141.49"
"6,984.00","6,991.99",525.12,"1,140.49"
"6,992.00","7,007.99",524.12,"1,139.49"
"7,008.00","7,031.99",523.12,"1,138.49"
"7,032.00","7,039.99",522.12,"1,137.49"
"7,040.00","7,055.99",521.12,"1,136.49"
"7,056.00","7,079.99",520.12,"1,135.49"
"7,080.00","7,087.99",519.12,"1,134.49"
"7,088.00","7,103.99",518.12,"1,133.49"
"7,104.00","7,127.99",517.12,"1,132.49"
"7,128.00","7,135.99",516.12,"1,131.49"
"7,136.00","7,151.99",515.12,"1,130.49"
"7,152.00","7,175.99",514.12,"1,129.49"
"7,176.00","7,183.99",513.12,"1,128.49"
"7,184.00","7,199.99",512.12,"1,127.49"
"7,200.00","7,223.99",511.12,"1,126.49"
"7,224.00","7,231.99",510.12,"1,125.49"
"7,232.00","7,247.99",509.12,"1,124.49"
"7,248.00","7,271.99",508.12,"1,123.49"
"7,272.00","7,279.99",507.12,"1,122.49"
"7,280.00","7,295.99",506.12,"1,121.49"
"7,296.00","7,319.99",505.12,"1,120.49"
"7,320.00","7,327.99",504.12,"1,119.49"
"7,328.00","7,343.99",503.12,"1,118.49"
"7,344.00","7,367.99",502.12,"1,117.49"
"7,368.00","7,375.99",501.12,"1,116.49"
"7,376.00","7,391.99",500.12,"1,115.49"
"7,392.00","7,415.99",499.12,"1,114.49"
"7,416.00","7,423.99",498.12,"1,113.49"
"7,424.00","7,439.99",497.12,"1,112.49"
"7,440.00","7,463.99",496.12,"1,111.49"
"7,464.00","7,471.99",495.12,"1,110.49"
"7,472.00","7,487.99",494.12,"1,109.49"
"7,488.00","7,511.99",493.12,"1,108.49"
"7,512.00","7,519.99",492.12,"1,107.49"
"7,520.00","7,535.99",491.12,"1,106.49"
"7,536.00","7,559.99",490.12,"1,105.49"
"7,560.00","7,567.99",489.12,"1,104.49"
"7,568.00","7,583.99",488.12,"1,103.49"
"7,584.00","7,607.99",487.12,"1,102.49"
"7,608.00","7,615.99",486.12,"1,101.49"
"7,616.00","7,631.99",485.12,"1,100.49"
"7,632.00","7,655.99",484.12,"1,099.49"
"7,656.00","7,663.99",483.12,"1,098.49"
"7,664.00","7,679.99",482.12,"1,097.49"
"7,680.00","7,703.99",481.12,"1,096.49"
"7,704.00","7,711.99",480.12,"1,095.49"
"7,712.00","7,727.99",479.12,"1,094.49"
"7,728.00","7,751.99",478.12,"1,093.49"
"7,752.00","7,759.99",477.12,"1,092.49"
"7,760.00","7,775.99",476.12,1091.49
"7,776.00","7,799.99",475.12,1090.49
"7,800.00","7,807.99",474.12,1089.49
"7,808.00","7,823.99",473.12,1088.49
"7,824.00","7,847.99",472.12,1087.49
"7,848.00","7,855.99",471.12,1086.49
"7,856.00","7,871.99",470.12,1085.49
"7,872.00","7,895.99",469.12,1084.49
"7,896.00","7,903.99",468.12,1083.49
"7,904.00","7,919.99",467.12,1082.49
"7,920.00","7,943.99",466.12,1081.49
"7,944.00","7,951.99",465.12,1080.49
"7,952.00","7,967.99",464.12,1079.49
"7,968.00","7,991.99",463.12,1078.49
"7,992.00","7,999.99",462.12,1077.49
"8,000.00","8,015.99",461.12,1076.49
"8,016.00","8,039.99",460.12,1075.49
"8,040.00","8,047.99",459.12,1074.49
"8,048.00","8,063.99",458.12,1073.49
"8,064.00","8,087.99",457.12,1072.49
"8,088.00","8,095.99",456.12,1071.49
"8,096.00","8,111.99",455.12,1070.49
"8,112.00","8,135.99",454.12,1069.49
"8,136.00","8,143.99",453.12,1068.49
"8,144.00","8,159.99",452.12,1067.49
"8,160.00","8,183.99",451.12,1066.49
"8,184.00","8,191.99",450.12,1065.49
"8,192.00","8,207.99",449.12,1064.49
"8,208.00","8,231.99",448.12,1063.49
"8,232.00","8,239.99",447.12,1062.49
"8,240.00","8,255.99",446.12,1061.49
"8,256.00","8,279.99",445.12,1060.49
"8,280.00","8,287.99",444.12,1059.49
"8,288.00","8,303.99",443.12,1058.49
"8,304.00","8,327.99",442.12,1057.49
"8,328.00","8,335.99",441.12,1056.49
"8,336.00","8,351.99",440.12,1055.49
"8,352.00","8,375.99",439.12,1054.49
"8,376.00","8,383.99",438.12,1053.49
"8,384.00","8,399.99",437.12,1052.49
"8,400.00","8,423.99",436.12,1051.49
"8,424.00","8,431.99",435.12,1050.49
"8,432.00","8,447.99",434.12,1049.49
"8,448.00","8,471.99",433.12,1048.49
